County,# Primary Care Physicians,County Value**,National Z-Score
"Texas","17,818","1,660:1",
"Anderson","22","2,650:1","0.45"
"Andrews","9","2,050:1","0.15"
"Angelina","57","1,520:1","-0.32"
"Aransas","8","3,060:1","0.59"
"Archer",,,"0.28"
"Armstrong","0","1,840:0","1.49"
"Atascosa","10","4,990:1","0.94"
"Austin","6","5,060:1","0.95"
"Bailey","2","3,420:1","0.69"
"Bandera","7","3,080:1","0.60"
"Bastrop","24","4,250:1","0.84"
"Baylor^","8","430:1","-3.00"
"Bee","5","6,180:1","1.05"
"Bell","274","1,390:1","-0.50"
"Bexar","1,492","1,360:1","-0.54"
"Blanco","5","2,380:1","0.33"
"Borden","0","620:0","NA"
"Bosque","10","1,850:1","0.00"
"Bowie","67","1,380:1","-0.50"
"Brazoria","248","1,530:1","-0.31"
"Brazos","197","1,200:1","-0.80"
"Brewster","12","790:1","-2.01"
"Briscoe","1","1,400:1","-0.47"
"Brooks",,,"0.28"
"Brown","20","1,910:1","0.05"
"Burleson","7","2,580:1","0.42"
"Burnet","21","2,430:1","0.36"
"Caldwell","12","3,900:1","0.79"
"Calhoun","10","1,970:1","0.10"
"Callahan","2","7,060:1","1.10"
"Cameron","208","2,030:1","0.14"
"Camp","9","1,400:1","-0.47"
"Carson",,,"0.28"
"Cass","6","4,760:1","0.91"
"Castro","2","3,690:1","0.75"
"Chambers","7","6,980:1","1.10"
"Cherokee","26","1,970:1","0.09"
"Childress","10","670:1","-2.60"
"Clay","4","2,570:1","0.42"
"Cochran","1","2,520:1","0.40"
"Coke",,,"0.28"
"Coleman","4","1,930:1","0.07"
"Collin","1,080","1,030:1","-1.19"
"Collingsworth","1","2,620:1","0.44"
"Colorado","11","1,880:1","0.02"
"Comal","104","1,680:1","-0.15"
"Comanche","8","1,720:1","-0.11"
"Concho","1","3,340:1","0.67"
"Cooke","11","3,840:1","0.78"
"Coryell","15","5,620:1","1.00"
"Cottle","0","1,380:0","1.49"
"Crane","2","2,340:1","0.31"
"Crockett","2","1,530:1","-0.30"
"Crosby","2","2,550:1","0.41"
"Culberson","1","2,190:1","0.24"
"Dallam","6","1,200:1","-0.81"
"Dallas","1,864","1,390:1","-0.49"
"Dawson","5","2,480:1","0.38"
"Deaf Smith","2","9,160:1","1.19"
"Delta",,,"0.28"
"Denton","505","1,860:1","0.01"
"DeWitt","12","1,660:1","-0.17"
"Dickens","1","1,740:1","-0.09"
"Dimmit","3","2,820:1","0.52"
"Donley",,,"0.28"
"Duval",,,"0.28"
"Eastland","4","4,470:1","0.88"
"Ector","92","1,750:1","-0.08"
"Edwards","1","1,440:1","-0.42"
"El Paso","431","2,010:1","0.12"
"Ellis","77","2,630:1","0.45"
"Erath","25","1,740:1","-0.10"
"Falls","1","17,310:1","1.33"
"Fannin","7","5,220:1","0.97"
"Fayette","8","3,090:1","0.60"
"Fisher","2","1,850:1","0.00"
"Floyd","3","1,780:1","-0.05"
"Foard","0","1,080:0","1.49"
"Fort Bend","727","1,180:1","-0.84"
"Franklin","3","3,490:1","0.70"
"Freestone","6","3,300:1","0.66"
"Frio","4","4,610:1","0.90"
"Gaines","2","10,950:1","1.24"
"Galveston","250","1,420:1","-0.45"
"Garza","1","5,860:1","1.02"
"Gillespie","32","850:1","-1.74"
"Glasscock","0","1,150:0","NA"
"Goliad",,,"0.28"
"Gonzales","8","2,460:1","0.37"
"Gray","6","3,510:1","0.71"
"Grayson","59","2,360:1","0.33"
"Gregg","113","1,100:1","-1.02"
"Grimes","8","3,790:1","0.76"
"Guadalupe","46","3,850:1","0.78"
"Hale","13","2,480:1","0.38"
"Hall",,,"0.28"
"Hamilton","8","1,030:1","-1.19"
"Hansford","3","1,720:1","-0.11"
"Hardeman","4","890:1","-1.61"
"Hardin","10","5,700:1","1.01"
"Harris","2,754","1,720:1","-0.11"
"Harrison","21","3,290:1","0.66"
"Hartley",,,"0.28"
"Haskell","5","1,080:1","-1.06"
"Hays","113","2,260:1","0.27"
"Hemphill","4","820:1","-1.88"
"Henderson","30","2,790:1","0.50"
"Hidalgo","408","2,160:1","0.22"
"Hill","9","4,050:1","0.81"
"Hockley","13","1,640:1","-0.19"
"Hood","24","2,680:1","0.46"
"Hopkins","9","4,130:1","0.83"
"Houston","3","7,410:1","1.12"
"Howard","7","4,880:1","0.93"
"Hudspeth",,,"0.28"
"Hunt","28","3,690:1","0.75"
"Hutchinson","5","4,100:1","0.82"
"Irion","0","1,550:0","1.49"
"Jack","3","2,900:1","0.54"
"Jackson","2","7,560:1","1.13"
"Jasper","12","2,750:1","0.49"
"Jeff Davis","1","1,950:1","0.08"
"Jefferson","121","2,100:1","0.18"
"Jim Hogg","1","4,800:1","0.92"
"Jim Wells","12","3,240:1","0.64"
"Johnson","76","2,460:1","0.37"
"Jones","2","9,940:1","1.22"
"Karnes","4","3,690:1","0.75"
"Kaufman","33","4,780:1","0.92"
"Kendall","40","1,170:1","-0.86"
"Kenedy","0","340:0","NA"
"Kent","0","750:0","NA"
"Kerr","43","1,240:1","-0.74"
"Kimble","4","1,090:1","-1.03"
"King","0","260:0","NA"
"Kinney",,,"0.28"
"Kleberg","13","2,360:1","0.32"
"Knox","1","3,350:1","0.67"
"La Salle",,,"0.28"
"Lamar","22","2,280:1","0.28"
"Lamb","3","4,300:1","0.85"
"Lampasas","10","2,230:1","0.25"
"Lavaca","12","1,710:1","-0.12"
"Lee","4","4,430:1","0.87"
"Leon",,,"0.28"
"Liberty","21","4,650:1","0.90"
"Limestone","9","2,460:1","0.37"
"Lipscomb",,,"0.28"
"Live Oak",,,"0.28"
"Llano","15","1,470:1","-0.39"
"Loving","0","60:0","NA"
"Lubbock","248","1,270:1","-0.68"
"Lynn","6","950:1","-1.42"
"Madison","3","4,570:1","0.89"
"Marion",,,"0.28"
"Martin","1","5,210:1","0.96"
"Mason",,,"0.28"
"Matagorda","13","2,800:1","0.51"
"Maverick","14","4,150:1","0.83"
"McCulloch","3","2,510:1","0.39"
"McLennan","202","1,300:1","-0.62"
"McMullen","0","610:0","NA"
"Medina","15","3,470:1","0.70"
"Menard","1","1,980:1","0.10"
"Midland","64","2,620:1","0.44"
"Milam","1","25,110:1","1.38"
"Mills","1","4,480:1","0.88"
"Mitchell","5","1,810:1","-0.03"
"Montague","5","4,080:1","0.82"
"Montgomery","410","1,580:1","-0.25"
"Moore","7","3,020:1","0.58"
"Morris","3","4,010:1","0.81"
"Motley","0","1,070:0","1.49"
"Nacogdoches","46","1,410:1","-0.47"
"Navarro","15","3,570:1","0.72"
"Newton","1","12,240:1","1.27"
"Nolan","7","2,090:1","0.17"
"Nueces","279","1,270:1","-0.69"
"Ochiltree","4","2,450:1","0.37"
"Oldham","0","1,720:0","1.49"
"Orange","14","6,050:1","1.04"
"Palo Pinto","14","2,050:1","0.15"
"Panola","5","4,540:1","0.89"
"Parker","60","2,610:1","0.44"
"Parmer","1","9,810:1","1.21"
"Pecos","7","2,160:1","0.22"
"Polk","25","2,080:1","0.16"
"Potter","102","1,140:1","-0.92"
"Presidio","3","2,050:1","0.15"
"Rains","1","12,510:1","1.27"
"Randall","79","1,820:1","-0.02"
"Reagan","1","3,250:1","0.65"
"Real","2","1,410:1","-0.46"
"Red River","3","3,850:1","0.78"
"Reeves","5","2,900:1","0.54"
"Refugio","1","6,760:1","1.09"
"Roberts","0","800:0","NA"
"Robertson","2","8,480:1","1.17"
"Rockwall","77","1,510:1","-0.33"
"Runnels","7","1,420:1","-0.45"
"Rusk","12","4,400:1","0.87"
"Sabine","2","5,020:1","0.94"
"San Augustine","2","3,960:1","0.80"
"San Jacinto","2","13,940:1","1.30"
"San Patricio","16","4,360:1","0.86"
"San Saba","2","2,910:1","0.55"
"Schleicher",,,"0.28"
"Scurry","10","1,680:1","-0.15"
"Shackelford","1","3,210:1","0.63"
"Shelby","4","5,980:1","1.03"
"Sherman",,,"0.28"
"Smith","234","1,010:1","-1.23"
"Somervell","7","1,350:1","-0.55"
"Starr","17","3,890:1","0.78"
"Stephens","3","3,060:1","0.59"
"Sterling","0","1,380:0","NA"
"Stonewall","1","1,220:1","-0.77"
"Sutton","4","830:1","-1.83"
"Swisher","1","7,010:1","1.10"
"Tarrant","1,239","1,720:1","-0.11"
"Taylor","96","1,490:1","-0.35"
"Terrell","0","720:0","NA"
"Terry","4","2,940:1","0.55"
"Throckmorton","1","1,500:1","-0.35"
"Titus","13","2,400:1","0.34"
"Tom Green","86","1,390:1","-0.49"
"Travis","1,093","1,190:1","-0.82"
"Trinity","2","6,910:1","1.09"
"Tyler","5","4,020:1","0.81"
"Upshur","9","4,640:1","0.90"
"Upton",,,"0.28"
"Uvalde","8","3,090:1","0.60"
"Val Verde","16","2,970:1","0.57"
"Van Zandt","5","12,260:1","1.27"
"Victoria","66","1,380:1","-0.51"
"Walker","21","3,710:1","0.75"
"Waller","7","8,540:1","1.17"
"Ward","1","11,190:1","1.25"
"Washington","22","1,630:1","-0.20"
"Webb","82","3,270:1","0.65"
"Wharton","16","2,610:1","0.44"
"Wheeler","1","4,930:1","0.93"
"Wichita","108","1,200:1","-0.80"
"Wilbarger","4","3,180:1","0.63"
"Willacy","8","2,540:1","0.41"
"Williamson","439","1,460:1","-0.39"
"Wilson","24","2,140:1","0.20"
"Winkler","2","3,710:1","0.75"
"Wise","27","2,660:1","0.45"
"Wood","15","3,060:1","0.59"
"Yoakum","2","3,800:1","0.77"
"Young","15","1,200:1","-0.81"
"Zapata",,,"0.28"
"Zavala",,,"0.28"